FightID,Date,Country,Fighter_Name,DOB,Stance,Weight,Result,Method
4354,8/06/2013,Brazil,Minotauro Nogueira,2/06/1976,Orthodox,240,Loss,SUB
4394,8/06/2013,Brazil,Leonardo Santos,5/02/1980,Orthodox,155,Win,SUB
4394,8/06/2013,Brazil,William Patolino,1/07/1991,Orthodox,170,Loss,SUB
4355,8/06/2013,Brazil,Rafael Cavalcante,14/04/1980,Orthodox,205,Loss,KO/TKO
4355,8/06/2013,Brazil,Thiago Silva,12/11/1982,Orthodox,0,Win,KO/TKO
4365,8/06/2013,Brazil,Jason High,12/10/1981,Southpaw,155,Loss,SUB
4365,8/06/2013,Brazil,Erick Silva,21/06/1984,Orthodox,170,Win,SUB
4356,8/06/2013,Brazil,Eddie Mendez,16/01/1984,,0,Loss,SUB
4356,8/06/2013,Brazil,Daniel Sarafian,21/08/1982,Orthodox,185,Win,SUB
4366,8/06/2013,Brazil,Mike Wilkinson,15/09/1987,,145,Loss,SUB
4366,8/06/2013,Brazil,Rony Jason,21/03/1984,Orthodox,145,Win,SUB
4367,8/06/2013,Brazil,Vaughan Lee,15/10/1982,Orthodox,135,Loss,SUB
4367,8/06/2013,Brazil,Raphael Assuncao,19/07/1982,Orthodox,135,Win,SUB
4369,8/06/2013,Brazil,Felipe Arantes,9/02/1988,Orthodox,145,Win,KO/TKO
4369,8/06/2013,Brazil,Godofredo Pepey,2/07/1987,Orthodox,145,Loss,KO/TKO
4370,8/06/2013,Brazil,Leandro Silva,11/11/1985,Orthodox,155,Loss,DEC
4370,8/06/2013,Brazil,Ildemar Alcantara,18/11/1982,Orthodox,185,Win,DEC
4371,8/06/2013,Brazil,Mizuto Hirota,5/05/1981,Orthodox,0,Loss,DEC
4371,8/06/2013,Brazil,Rodrigo Damm,3/02/1980,Orthodox,155,Win,DEC
4372,8/06/2013,Brazil,Karlos Vemola,3/07/1985,Orthodox,0,Loss,SUB
4372,8/06/2013,Brazil,Caio Magalhaes,14/12/1987,Orthodox,185,Win,SUB
4373,8/06/2013,Brazil,Anthony Smith,26/07/1988,,0,Loss,SUB
4373,8/06/2013,Brazil,Antonio Braga Neto,29/10/1987,Orthodox,185,Win,SUB
4363,27/07/2013,USA,John Moraga,20/03/1984,Orthodox,125,Loss,SUB
4363,27/07/2013,USA,Demetrious Johnson,13/08/1986,Orthodox,125,Win,SUB
4357,27/07/2013,USA,Jake Ellenberger,28/03/1985,Orthodox,170,Loss,DEC
4357,27/07/2013,USA,Rory MacDonald,22/07/1989,Orthodox,170,Win,DEC
4374,27/07/2013,USA,Bobby Voelker,26/04/1979,Orthodox,170,Loss,KO/TKO
4374,27/07/2013,USA,Robbie Lawler,20/03/1982,Southpaw,170,Win,KO/TKO
4364,27/07/2013,USA,Jessica Andrade,25/09/1991,Orthodox,135,Loss,KO/TKO
4364,27/07/2013,USA,Liz Carmouche,19/02/1984,Orthodox,135,Win,KO/TKO
4362,27/07/2013,USA,Jorge Masvidal,12/11/1984,Orthodox,155,Loss,SUB
4362,27/07/2013,USA,Michael Chiesa,7/12/1987,Southpaw,155,Win,SUB
4359,27/07/2013,USA,Tim Means,20/02/1984,Orthodox,170,Loss,DEC
4359,27/07/2013,USA,Danny Castillo,25/08/1979,Orthodox,155,Win,DEC
4358,27/07/2013,USA,Melvin Guillard,30/03/1983,Orthodox,155,Win,KO/TKO
4358,27/07/2013,USA,Mac Danzig,2/01/1980,Orthodox,155,Loss,KO/TKO
4361,27/07/2013,USA,Daron Cruickshank,11/06/1985,Switch,155,Win,DEC
4361,27/07/2013,USA,Yves Edwards,30/09/1976,Southpaw,155,Loss,DEC
4376,27/07/2013,USA,Trevor Smith,5/01/1981,Orthodox,185,Loss,DEC
4376,27/07/2013,USA,Ed Herman,2/10/1980,Orthodox,185,Win,DEC
4360,27/07/2013,USA,Germaine de Randamie,24/04/1984,Orthodox,135,Win,DEC
4360,27/07/2013,USA,Julie Kedzie,18/03/1981,Orthodox,135,Loss,DEC
4377,27/07/2013,USA,Justin Salas,13/03/1982,Southpaw,155,Win,DEC
4377,27/07/2013,USA,Aaron Riley,9/12/1980,Southpaw,156,Loss,DEC
4378,27/07/2013,USA,Yaotzin Meza,4/02/1981,Orthodox,145,Win,SUB
4378,27/07/2013,USA,John Albert,13/10/1986,,0,Loss,SUB
4368,3/08/2013,Brazil,Josh Clopton,11/07/1981,Orthodox,0,Loss,DEC
4368,3/08/2013,Brazil,Rani Yahya,12/09/1984,Orthodox,0,Win,DEC
4379,3/08/2013,Brazil,Chan Sung Jung,17/03/1987,Orthodox,0,Loss,KO/TKO
4379,3/08/2013,Brazil,Jose Aldo,9/09/1986,Orthodox,0,Win,KO/TKO
4293,3/08/2013,Brazil,Phil Davis,25/09/1984,Orthodox,0,Win,DEC
4293,3/08/2013,Brazil,Lyoto Machida,30/05/1978,Southpaw,0,Loss,DEC
4388,3/08/2013,Brazil,Thiago Santos,7/01/1984,Orthodox,0,Loss,SUB
4388,3/08/2013,Brazil,Cezar Ferreira,15/02/1985,Southpaw,0,Win,SUB
4387,3/08/2013,Brazil,Tom Watson,13/07/1982,Orthodox,0,Loss,DEC
4387,3/08/2013,Brazil,Thales Leites,6/09/1981,Orthodox,0,Win,DEC
4412,3/08/2013,Brazil,Jose Maria,4/01/1982,Orthodox,0,Loss,KO/TKO
4412,3/08/2013,Brazil,John Lineker,12/06/1990,Orthodox,0,Win,KO/TKO
4414,3/08/2013,Brazil,Anthony Perosh,5/10/1972,Orthodox,0,Win,KO/TKO
4414,3/08/2013,Brazil,Vinny Magalhaes,2/07/1984,Orthodox,0,Loss,KO/TKO
4415,3/08/2013,Brazil,Sheila Gaff,29/12/1989,Orthodox,0,Loss,KO/TKO
4415,3/08/2013,Brazil,Amanda Nunes,30/05/1988,,0,Win,KO/TKO
4416,3/08/2013,Brazil,Neil Magny,3/08/1987,Orthodox,0,Loss,SUB
4416,3/08/2013,Brazil,Sergio Moraes,23/07/1982,Orthodox,0,Win,SUB
4411,3/08/2013,Brazil,Iliarde Santos,25/09/1980,Orthodox,0,Loss,DEC
4411,3/08/2013,Brazil,Ian McCall,7/05/1984,Orthodox,0,Win,DEC
4417,3/08/2013,Brazil,Francimar Barroso,28/02/1980,Orthodox,0,Win,DEC
4417,3/08/2013,Brazil,Ednaldo Oliveira,19/02/1984,Orthodox,0,Loss,DEC
4410,3/08/2013,Brazil,Bristol Marunde,20/04/1982,Orthodox,0,Loss,KO/TKO
4410,3/08/2013,Brazil,Viscardi Andrade,8/03/1984,Orthodox,0,Win,KO/TKO
4403,31/08/2013,USA,Anthony Pettis,27/01/1987,Orthodox,0,Win,SUB
4403,31/08/2013,USA,Benson Henderson,16/11/1983,Southpaw,0,Loss,SUB
4386,31/08/2013,USA,Josh Barnett,10/11/1977,Orthodox,0,Win,KO/TKO
4386,31/08/2013,USA,Frank Mir,24/05/1979,Southpaw,0,Loss,KO/TKO
4292,31/08/2013,USA,Clay Guida,8/12/1981,Orthodox,0,Loss,KO/TKO
4292,31/08/2013,USA,Chad Mendes,1/05/1985,Orthodox,0,Win,KO/TKO
4381,31/08/2013,USA,Brandon Vera,10/10/1977,Orthodox,0,Loss,KO/TKO
4381,31/08/2013,USA,Ben Rothwell,17/10/1981,Orthodox,0,Win,KO/TKO
4382,31/08/2013,USA,Dustin Poirier,19/01/1989,Southpaw,0,Win,DEC
4382,31/08/2013,USA,Erik Koch,4/10/1988,Southpaw,0,Loss,DEC
4425,31/08/2013,USA,Gleison Tibau,7/10/1983,Southpaw,0,Win,DEC
4425,31/08/2013,USA,Jamie Varner,12/10/1984,Orthodox,0,Loss,DEC
4419,31/08/2013,USA,Timothy Elliott,24/12/1986,Southpaw,0,Win,DEC
4419,31/08/2013,USA,Louis Gaudinot,28/08/1984,Orthodox,0,Loss,DEC
4424,31/08/2013,USA,Hyun Gyu Lim,16/01/1985,Orthodox,0,Win,KO/TKO
4424,31/08/2013,USA,Pascal Krauss,19/04/1987,Orthodox,0,Loss,KO/TKO
4405,31/08/2013,USA,Kyung Ho Kang,9/09/1987,Orthodox,0,Loss,DEC
4405,31/08/2013,USA,Chico Camus,26/01/1985,Orthodox,0,Win,DEC
4390,31/08/2013,USA,Nikita Krylov,7/03/1992,Orthodox,0,Loss,KO/TKO
4390,31/08/2013,USA,Soa Palelei,12/07/1977,Orthodox,0,Win,KO/TKO
4434,31/08/2013,USA,Al Iaquinta,30/04/1987,Orthodox,0,Win,DEC
4434,31/08/2013,USA,Ryan Couture,27/08/1982,Orthodox,0,Loss,DEC
4421,31/08/2013,USA,Magnus Cedenblad,10/04/1982,Orthodox,0,,
4421,31/08/2013,USA,Jared Hamman,7/03/1982,Orthodox,0,,
4395,17/08/2013,USA,Chael Sonnen,3/04/1977,Southpaw,0,Win,SUB
4395,17/08/2013,USA,Mauricio Rua,25/11/1981,Orthodox,0,Loss,SUB
4383,17/08/2013,USA,Travis Browne,17/07/1982,Orthodox,0,Win,KO/TKO
4383,17/08/2013,USA,Alistair Overeem,17/05/1980,Orthodox,0,Loss,KO/TKO
4396,17/08/2013,USA,Iuri Alcantara,4/08/1980,Southpaw,0,Loss,DEC
4396,17/08/2013,USA,Urijah Faber,14/05/1979,Orthodox,0,Win,DEC
4384,17/08/2013,USA,Mike Pyle,18/09/1975,Orthodox,0,Loss,KO/TKO
4384,17/08/2013,USA,Matt Brown,10/01/1981,Orthodox,0,Win,KO/TKO
4389,17/08/2013,USA,John Howard,1/03/1983,Orthodox,0,Win,DEC
4389,17/08/2013,USA,Uriah Hall,31/07/1984,Orthodox,0,Loss,DEC
4385,17/08/2013,USA,Michael Johnson,4/06/1986,Southpaw,0,Win,DEC
4385,17/08/2013,USA,Joe Lauzon,22/05/1984,Orthodox,0,Loss,DEC
4397,17/08/2013,USA,Michael McDonald,15/01/1991,Orthodox,0,Win,SUB
4397,17/08/2013,USA,Brad Pickett,24/09/1978,Orthodox,0,Loss,SUB
4391,17/08/2013,USA,Max Holloway,4/12/1991,Orthodox,0,Loss,DEC
4391,17/08/2013,USA,Conor McGregor,14/07/1988,Southpaw,0,Win,DEC
4392,17/08/2013,USA,Steven Siler,15/02/1987,Orthodox,0,Win,KO/TKO
4392,17/08/2013,USA,Mike Brown,8/09/1975,Orthodox,0,Loss,KO/TKO
4406,17/08/2013,USA,Daniel Pineda,6/08/1985,Orthodox,0,Loss,DEC
4406,17/08/2013,USA,Diego Brandao,27/05/1987,Orthodox,0,Win,DEC
4418,17/08/2013,USA,Cole Miller,26/04/1984,Orthodox,0,Loss,DEC
4418,17/08/2013,USA,Manvel Gamburyan,8/05/1981,Orthodox,0,Win,DEC
4398,17/08/2013,USA,Ovince St. Preux,8/04/1983,Southpaw,0,Win,KO/TKO
4398,17/08/2013,USA,Cody Donovan,20/02/1981,Orthodox,0,Loss,KO/TKO
4404,17/08/2013,USA,James Vick,23/02/1987,Orthodox,0,,
4404,17/08/2013,USA,Ramsey Nijem,1/04/1988,Orthodox,0,,
4393,28/08/2013,USA,Martin Kampmann,17/04/1982,Orthodox,0,Loss,KO/TKO
4393,28/08/2013,USA,Carlos Condit,26/04/1984,Orthodox,0,Win,KO/TKO
4409,28/08/2013,USA,Rafael dos Anjos,26/10/1984,Orthodox,0,Win,DEC
4409,28/08/2013,USA,Donald Cerrone,29/03/1983,Orthodox,0,Loss,DEC
4400,28/08/2013,USA,Brian Melancon,28/05/1982,Orthodox,0,Loss,SUB
4400,28/08/2013,USA,Kelvin Gastelum,24/10/1991,Southpaw,0,Win,SUB
4407,28/08/2013,USA,Robert Whittaker,20/12/1990,Orthodox,0,Loss,DEC
4407,28/08/2013,USA,Court McGee,12/12/1984,Orthodox,0,Win,DEC
4426,28/08/2013,USA,Erik Perez,19/11/1989,Orthodox,0,Loss,DEC
4426,28/08/2013,USA,Takeya Mizugaki,16/12/1983,Orthodox,0,Win,DEC
4401,28/08/2013,USA,Robert McDaniel,3/05/1983,Southpaw,0,Loss,DEC
4401,28/08/2013,USA,Brad Tavares,21/12/1987,Orthodox,0,Win,DEC
4427,28/08/2013,USA,Papy Abedi,30/06/1978,Southpaw,0,Loss,KO/TKO
4427,28/08/2013,USA,Dylan Andrews,15/11/1979,Switch,0,Win,KO/TKO
4408,28/08/2013,USA,Brandon Thatch,11/07/1985,Switch,0,Win,KO/TKO
4408,28/08/2013,USA,Justin Edwards,26/01/1983,Orthodox,0,Loss,KO/TKO
4413,28/08/2013,USA,Hatsu Hioki,18/07/1983,Orthodox,0,Loss,DEC
4413,28/08/2013,USA,Darren Elkins,16/05/1984,Orthodox,0,Win,DEC
4402,28/08/2013,USA,Jason High,12/10/1981,Southpaw,0,Win,SUB
4402,28/08/2013,USA,James Head,9/02/1984,Orthodox,0,Loss,SUB
4423,28/08/2013,USA,Ben Alloway,19/02/1981,Orthodox,0,Loss,SUB
4423,28/08/2013,USA,Zak Cummings,2/08/1984,Southpaw,0,Win,SUB
4428,28/08/2013,USA,Abel Trujillo,18/09/1983,Orthodox,0,,
4428,28/08/2013,USA,Roger Bowling,5/12/1982,Orthodox,0,,
4420,21/09/2013,Canada,Alexander Gustafsson,15/01/1987,Orthodox,0,Loss,DEC
4420,21/09/2013,Canada,Jon Jones,19/07/1987,Orthodox,0,Win,DEC
4438,21/09/2013,Canada,Eddie Wineland,26/06/1984,Orthodox,0,Loss,KO/TKO
4438,21/09/2013,Canada,Renan Barao,27/02/1987,Orthodox,0,Win,KO/TKO
4452,21/09/2013,Canada,Matt Mitrione,15/07/1978,Orthodox,0,Loss,SUB
4452,21/09/2013,Canada,Brendan Schaub,18/03/1983,Orthodox,0,Win,SUB
4453,21/09/2013,Canada,Khabib Nurmagomedov,20/09/1988,Orthodox,0,Win,DEC
4453,21/09/2013,Canada,Pat Healy,20/07/1983,Orthodox,0,Loss,DEC
4461,21/09/2013,Canada,Francis Carmont,11/10/1981,Orthodox,0,Win,DEC
4461,21/09/2013,Canada,Constantinos Philippou,29/11/1979,Orthodox,0,Loss,DEC
4422,21/09/2013,Canada,Myles Jury,31/10/1988,Orthodox,0,Win,DEC
4422,21/09/2013,Canada,Mike Ricci,18/03/1986,Southpaw,0,Loss,DEC
4429,21/09/2013,Canada,Wilson Reis,6/01/1985,Southpaw,0,Win,DEC
4429,21/09/2013,Canada,Ivan Menjivar,30/05/1982,Orthodox,0,Loss,DEC
4439,21/09/2013,Canada,Stephen Thompson,11/02/1983,Orthodox,0,Win,KO/TKO
4439,21/09/2013,Canada,Chris Clements,9/02/1976,Orthodox,0,Loss,KO/TKO
4456,21/09/2013,Canada,Renee Forte,27/03/1987,Orthodox,0,Loss,KO/TKO
4456,21/09/2013,Canada,John Makdessi,3/05/1985,Orthodox,0,Win,KO/TKO
4380,21/09/2013,Canada,Dustin Kimura,21/05/1989,Orthodox,0,Loss,SUB
4380,21/09/2013,Canada,Mitch Gagnon,10/10/1984,Southpaw,0,Win,SUB
4440,21/09/2013,Canada,Jesse Ronson,24/12/1985,Southpaw,0,Loss,DEC
4440,21/09/2013,Canada,Michel Prazeres,25/07/1981,Orthodox,0,Win,DEC
4433,21/09/2013,Canada,Daniel Omielanczuk,31/08/1982,Southpaw,0,Win,KO/TKO
4433,21/09/2013,Canada,Nandor Guelmino,20/12/1975,,0,Loss,KO/TKO
4464,21/09/2013,Canada,Alex Caceres,20/06/1988,Southpaw,0,Win,DEC
4464,21/09/2013,Canada,Roland Delorme,18/12/1983,Orthodox,0,Loss,DEC
4430,4/09/2013,Brazil,Ryan Bader,7/06/1983,Orthodox,0,Loss,KO/TKO
4430,4/09/2013,Brazil,Glover Teixeira,28/10/1979,Orthodox,0,Win,KO/TKO
4431,4/09/2013,Brazil,Ronaldo Souza,7/12/1979,Orthodox,0,Win,KO/TKO
4431,4/09/2013,Brazil,Yushin Okami,21/07/1981,Southpaw,0,Loss,KO/TKO
4432,4/09/2013,Brazil,Jussier Da Silva,14/04/1985,Orthodox,0,Loss,KO/TKO
4432,4/09/2013,Brazil,Joseph Benavidez,31/07/1984,Southpaw,0,Win,KO/TKO
4457,4/09/2013,Brazil,Piotr Hallmann,25/08/1987,Orthodox,0,Win,SUB
4457,4/09/2013,Brazil,Francisco Trinaldo,24/08/1978,Southpaw,0,Loss,SUB
4445,4/09/2013,Brazil,Tor Troeng,25/01/1983,Orthodox,0,Loss,DEC
4445,4/09/2013,Brazil,Rafael Natal,25/12/1982,Orthodox,0,Win,DEC
4449,4/09/2013,Brazil,Ali Bagautinov,10/06/1985,Orthodox,0,Win,KO/TKO
4449,4/09/2013,Brazil,Marcos Vinicius,5/12/1979,Orthodox,0,Loss,KO/TKO
4444,4/09/2013,Brazil,Edimilson Souza,17/10/1984,Orthodox,0,Win,DEC
4444,4/09/2013,Brazil,Felipe Arantes,9/02/1988,Orthodox,0,Loss,DEC
4451,4/09/2013,Brazil,Ramiro Hernandez,22/07/1986,Orthodox,0,Loss,SUB
4451,4/09/2013,Brazil,Lucas Martins,11/11/1988,Southpaw,0,Win,SUB
4454,4/09/2013,Brazil,Elias Silverio,22/09/1986,Orthodox,0,Win,DEC
4454,4/09/2013,Brazil,Joao Zeferino,15/01/1986,Orthodox,0,Loss,DEC
4446,4/09/2013,Brazil,Ivan Jorge,7/11/1980,Orthodox,0,Win,DEC
4446,4/09/2013,Brazil,Keith Wisniewski,25/10/1981,Orthodox,0,Loss,DEC
4443,4/09/2013,Brazil,Sean Spencer,25/06/1987,,0,Win,DEC
4443,4/09/2013,Brazil,Yuri Villefort,23/03/1991,Orthodox,0,Loss,DEC
4435,19/10/2013,USA,Junior Dos Santos,30/01/1984,Orthodox,0,Loss,KO/TKO
4435,19/10/2013,USA,Cain Velasquez,28/07/1982,Orthodox,0,Win,KO/TKO
4455,19/10/2013,USA,Roy Nelson,20/06/1976,Orthodox,0,Loss,DEC
4455,19/10/2013,USA,Daniel Cormier,20/03/1979,Orthodox,0,Win,DEC
4437,19/10/2013,USA,Diego Sanchez,31/12/1981,Southpaw,0,Loss,DEC
4437,19/10/2013,USA,Gilbert Melendez,12/04/1982,Orthodox,0,Win,DEC
4459,19/10/2013,USA,Shawn Jordan,21/10/1984,Southpaw,0,Loss,KO/TKO
4459,19/10/2013,USA,Gabriel Gonzaga,18/05/1979,Orthodox,0,Win,KO/TKO
4471,19/10/2013,USA,Darrell Montague,3/11/1987,Southpaw,0,Loss,KO/TKO
4471,19/10/2013,USA,John Dodson,26/09/1984,Orthodox,0,Win,KO/TKO
4458,19/10/2013,USA,CB Dollaway,10/08/1983,Orthodox,0,Loss,DEC
4458,19/10/2013,USA,Tim Boetsch,28/01/1981,Orthodox,0,Win,DEC
4436,19/10/2013,USA,Hector Lombard,2/02/1978,Southpaw,0,Win,KO/TKO
4436,19/10/2013,USA,Nate Marquardt,20/04/1979,Orthodox,0,Loss,KO/TKO
4493,19/10/2013,USA,Jessica Eye,27/07/1986,Orthodox,0,Win,DEC
4493,19/10/2013,USA,Sarah Kaufman,20/09/1985,Orthodox,0,Loss,DEC
4460,19/10/2013,USA,KJ Noons,7/12/1982,Orthodox,0,Win,DEC
4460,19/10/2013,USA,George Sotiropoulos,9/07/1977,Orthodox,0,Loss,DEC
4462,19/10/2013,USA,Adlan Amagov,30/10/1986,Orthodox,0,Win,KO/TKO
4462,19/10/2013,USA,Anthony Waldburger,25/04/1988,Orthodox,0,Loss,KO/TKO
4448,19/10/2013,USA,Mike Rio,6/07/1981,Orthodox,0,Loss,SUB
4448,19/10/2013,USA,Tony Ferguson,12/02/1984,Orthodox,0,Win,SUB
4469,19/10/2013,USA,Andre Fili,25/06/1990,Orthodox,0,Win,KO/TKO
4469,19/10/2013,USA,Jeremy Larsen,18/05/1984,Orthodox,0,Loss,KO/TKO
4520,19/10/2013,USA,Kyoji Horiguchi,12/10/1990,Orthodox,0,Win,KO/TKO
4520,19/10/2013,USA,Dustin Pague,5/08/1987,Orthodox,0,Loss,KO/TKO
4441,16/11/2013,USA,Johny Hendricks,12/09/1983,Southpaw,170,Loss,DEC
4441,16/11/2013,USA,Georges St-Pierre,19/05/1981,Orthodox,170,Win,DEC
4502,16/11/2013,USA,Chael Sonnen,3/04/1977,Southpaw,205,Loss,KO/TKO
4502,16/11/2013,USA,Rashad Evans,25/09/1979,Orthodox,205,Win,KO/TKO
4474,16/11/2013,USA,Robbie Lawler,20/03/1982,Southpaw,170,Win,DEC
4474,16/11/2013,USA,Rory MacDonald,22/07/1989,Orthodox,170,Loss,DEC
4489,16/11/2013,USA,Tyron Woodley,7/04/1982,Orthodox,170,Win,KO/TKO
4489,16/11/2013,USA,Josh Koscheck,30/11/1977,Orthodox,170,Loss,KO/TKO
4528,16/11/2013,USA,Ali Bagautinov,10/06/1985,Orthodox,125,Win,DEC
4528,16/11/2013,USA,Timothy Elliott,24/12/1986,Southpaw,125,Loss,DEC
4506,16/11/2013,USA,Evan Dunham,18/12/1981,Southpaw,155,Loss,SUB
4506,16/11/2013,USA,Donald Cerrone,29/03/1983,Orthodox,155,Win,SUB
4519,16/11/2013,USA,Thales Leites,6/09/1981,Orthodox,185,Win,DEC
4519,16/11/2013,USA,Ed Herman,2/10/1980,Orthodox,185,Loss,DEC
4510,16/11/2013,USA,Rick Story,28/08/1984,Southpaw,170,Win,DEC
4510,16/11/2013,USA,Brian Ebersole,27/11/1980,Southpaw,170,Loss,DEC
4477,16/11/2013,USA,Edwin Figueroa,31/07/1984,Orthodox,135,Loss,DEC
4477,16/11/2013,USA,Erik Perez,19/11/1989,Orthodox,135,Win,DEC
4587,16/11/2013,USA,Anthony Lapsley,13/02/1980,Southpaw,170,Loss,DEC
4587,16/11/2013,USA,Jason High,12/10/1981,Southpaw,170,Win,DEC
4573,16/11/2013,USA,Sergio Pettis,18/08/1993,Orthodox,135,Win,DEC
4573,16/11/2013,USA,Will Campuzano,27/05/1986,Orthodox,135,Loss,DEC
4578,16/11/2013,USA,Gian Villante,18/08/1985,Orthodox,205,Win,KO/TKO
4578,16/11/2013,USA,Cody Donovan,20/02/1981,Orthodox,205,Loss,KO/TKO
4447,29/12/2013,USA,Anderson Silva,14/04/1975,Southpaw,185,Loss,KO/TKO
4447,29/12/2013,USA,Chris Weidman,17/06/1984,Orthodox,185,Win,KO/TKO
4442,29/12/2013,USA,Miesha Tate,18/08/1986,Orthodox,135,Loss,SUB
4442,29/12/2013,USA,Ronda Rousey,1/02/1987,Orthodox,135,Win,SUB
4527,29/12/2013,USA,Travis Browne,17/07/1982,Orthodox,255,Win,KO/TKO
4527,29/12/2013,USA,Josh Barnett,10/11/1977,Orthodox,250,Loss,KO/TKO
4576,29/12/2013,USA,Fabricio Camoes,23/12/1978,Orthodox,155,Loss,SUB
4576,29/12/2013,USA,Jim Miller,30/08/1983,Southpaw,155,Win,SUB
4539,29/12/2013,USA,Diego Brandao,27/05/1987,Orthodox,145,Loss,KO/TKO
4539,29/12/2013,USA,Dustin Poirier,19/01/1989,Southpaw,145,Win,KO/TKO
4538,29/12/2013,USA,Uriah Hall,31/07/1984,Orthodox,185,Win,KO/TKO
4538,29/12/2013,USA,Chris Leben,21/07/1980,Southpaw,185,Loss,KO/TKO
4537,29/12/2013,USA,Michael Johnson,4/06/1986,Southpaw,155,Win,KO/TKO
4537,29/12/2013,USA,Gleison Tibau,7/10/1983,Southpaw,155,Loss,KO/TKO
4543,29/12/2013,USA,Manvel Gamburyan,8/05/1981,Orthodox,145,Loss,DEC
4543,29/12/2013,USA,Dennis Siver,13/01/1979,Orthodox,145,Win,DEC
4481,29/12/2013,USA,Siyar Bahadurzada,17/04/1984,Orthodox,170,Loss,DEC
4481,29/12/2013,USA,John Howard,1/03/1983,Orthodox,170,Win,DEC
4577,29/12/2013,USA,Bobby Voelker,26/04/1979,Orthodox,170,Loss,DEC
4577,29/12/2013,USA,William Macario,1/07/1991,Orthodox,170,Win,DEC
4598,29/12/2013,USA,Estevan Payan,14/03/1982,Orthodox,145,Loss,KO/TKO
4598,29/12/2013,USA,Robert Peralta,14/03/1986,Orthodox,145,Win,KO/TKO
4465,26/10/2013,United Kingdom,Mark Munoz,9/02/1978,Orthodox,185,Loss,KO/TKO
4465,26/10/2013,United Kingdom,Lyoto Machida,30/05/1978,Southpaw,205,Win,KO/TKO
4467,26/10/2013,United Kingdom,Melvin Guillard,30/03/1983,Orthodox,155,,
4467,26/10/2013,United Kingdom,Ross Pearson,26/09/1984,Orthodox,155,,
4473,26/10/2013,United Kingdom,Ryan Jimmo,27/11/1981,Orthodox,205,Loss,KO/TKO
4473,26/10/2013,United Kingdom,Jimi Manuwa,18/02/1980,Orthodox,205,Win,KO/TKO
4501,26/10/2013,United Kingdom,Jon Tuck,28/08/1984,Orthodox,155,Loss,DEC
4501,26/10/2013,United Kingdom,Norman Parke,22/12/1986,,155,Win,DEC
4483,26/10/2013,United Kingdom,Nicholas Musoke,5/04/1986,Orthodox,185,Win,SUB
4483,26/10/2013,United Kingdom,Alessio Sakara,2/09/1981,Orthodox,185,Loss,SUB
4470,26/10/2013,United Kingdom,John Lineker,12/06/1990,Orthodox,125,Win,KO/TKO
4470,26/10/2013,United Kingdom,Phil Harris,4/09/1983,Orthodox,125,Loss,KO/TKO
4399,26/10/2013,United Kingdom,Piotr Hallmann,25/08/1987,Orthodox,155,Loss,DEC
4399,26/10/2013,United Kingdom,Al Iaquinta,30/04/1987,Orthodox,155,Win,DEC
4485,26/10/2013,United Kingdom,Andrew Craig,15/01/1986,Orthodox,185,Loss,SUB
4485,26/10/2013,United Kingdom,Luke Barnatt,13/04/1988,Orthodox,185,Win,SUB
4497,26/10/2013,United Kingdom,Jessica Andrade,25/09/1991,Orthodox,135,Win,DEC
